ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,5.004529,0.435897,0.444444,0.994015,0.275641,17.399349,156,68,45,20,25,0.293953018067556,0.20141968755872464,,
1,5.493553,0.532468,0.548387,0.991266,0.350649,19.178842,154,82,62,34,28,0.34764623076411666,0.7777517223335887,,
2,5.340335,0.537415,0.433333,0.992478,0.306122,18.804405,147,79,60,26,34,0.3363482225971058,0.5971793121552886,,
3,5.38928,0.538961,0.432836,0.99217,0.292208,17.982555,154,83,67,29,38,0.31155029383146915,0.6548624889366225,,
4,5.095581,0.634483,0.433735,0.992212,0.310345,18.599151,145,92,83,36,47,0.3301550334979552,0.3087273302336055,,
5,5.214039,0.574194,0.411765,0.99203,0.316129,18.614645,155,89,68,28,40,0.3306225561086038,0.4483348750320059,,
6,5.319107,0.572327,0.4375,0.991903,0.289308,19.368617,159,91,80,35,45,0.3533723968863909,0.5721617205194537,,
7,5.228307,0.532895,0.543478,0.991881,0.394737,18.822826,152,81,46,25,21,0.33690404740493507,0.46515058720958397,,
8,5.428073,0.56391,0.574468,0.991455,0.413534,19.263271,133,75,47,27,20,0.35019375398313335,0.7005822087483159,,
9,5.449246,0.576159,0.492537,0.992315,0.350993,19.273849,151,87,67,33,34,0.3505129281777346,0.7255348156750795,,
10,5.283376,0.487013,0.477273,0.992741,0.337662,18.650797,154,75,44,21,23,0.3317133801420483,0.5300513817984419,,
11,5.164269,0.438272,0.472222,0.992766,0.320988,18.83754,162,71,36,17,19,0.3373480199309372,0.38967901351695233,,
12,4.965824,0.5,0.44,0.993651,0.318182,17.724696,154,77,50,22,28,0.3037698362992777,0.1558047051252984,,
13,5.301772,0.541935,0.508772,0.991681,0.36129,18.59266,155,84,57,29,28,0.3299591830574159,0.5517310821127588,,
14,5.490229,0.576923,0.441176,0.991362,0.333333,18.463078,156,90,68,30,38,0.32604926948248764,0.7738349692186043,,
15,5.016827,0.490446,0.466667,0.992934,0.33758,18.20609,157,77,45,21,24,0.31829507450662164,0.21591303495298259,,
16,5.233418,0.481013,0.525424,0.992296,0.303797,18.051354,158,76,59,31,28,0.3136261853381493,0.4711742887729009,,
17,5.320202,0.58125,0.457831,0.991907,0.3,18.407298,160,93,83,38,45,0.32436619244736337,0.5734514855881727,,
18,5.383821,0.563758,0.535714,0.992903,0.389262,18.584111,149,84,56,30,26,0.329701221595815,0.6484292761021386,,
19,5.589067,0.556291,0.394737,0.992163,0.251656,19.185803,151,84,76,30,46,0.3478562859998144,0.8903194273278513,,
20,5.335132,0.564935,0.482759,0.991768,0.37013,19.026026,154,87,58,28,30,0.34303527209612406,0.5910472804354628,,
21,5.601142,0.540541,0.530303,0.991499,0.331081,19.74333,148,80,66,35,31,0.3646787030858677,0.9045496718638347,,
22,5.392098,0.541667,0.492308,0.991072,0.3125,18.263985,144,78,65,32,33,0.3200419556905856,0.6581837495132711,,
23,5.267534,0.465409,0.491228,0.992445,0.283019,18.879276,159,74,57,28,29,0.3386073418380336,0.5113804231531454,,
24,5.480674,0.566265,0.444444,0.991608,0.295181,18.759273,166,94,81,36,45,0.3349864482127675,0.7625736970925386,,
25,5.265446,0.535484,0.527273,0.993068,0.367742,18.87676,155,83,55,29,26,0.33853143222951365,0.5089202318005706,,
26,5.320269,0.572368,0.604651,0.991653,0.460526,18.694917,152,87,43,26,17,0.3330446307695655,0.5735307035791658,,
27,5.382347,0.471831,0.392157,0.992035,0.253521,19.051691,142,67,51,20,31,0.34380966118436246,0.6466917951935403,,
28,5.20949,0.59589,0.478261,0.992153,0.431507,19.772183,146,87,46,22,24,0.3655493024724439,0.442973523990872,,
29,5.515343,0.519481,0.367347,0.991321,0.318182,19.493869,154,80,49,18,31,0.35715164342968464,0.8034326881935672,,
