ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.217101,0.317554,0.28692,0.998222,0.150888,13.978291,1014,322,237,68,169,0.35893644046947437,0.3156586673540905,,
1,4.426431,0.308151,0.376384,0.998169,0.140159,14.203431,1006,310,271,102,169,0.3703759282740608,0.5588652256946163,,
2,4.408294,0.308293,0.34127,0.998161,0.146341,14.382153,1025,316,252,86,166,0.37945687473222406,0.5377924380819809,,
3,4.303141,0.307921,0.352227,0.998198,0.149505,13.861325,1010,311,247,87,160,0.35299337164892747,0.4156225102149398,,
4,4.358777,0.316406,0.314741,0.998206,0.148438,14.222353,1024,324,251,79,172,0.3713373454930613,0.48026223506034604,,
5,4.459798,0.319515,0.408759,0.998172,0.155713,13.890871,989,316,274,112,162,0.3544946102137481,0.5976315798853699,,
6,4.348103,0.316583,0.337398,0.998166,0.152764,14.214317,995,315,246,83,163,0.3709290596530563,0.4678603327435784,,
7,4.449065,0.313803,0.328467,0.998156,0.131082,14.112042,1007,316,274,90,184,0.3657324150917938,0.5851618233360248,,
8,4.352994,0.315271,0.321429,0.998176,0.10936,13.971069,1015,320,308,99,209,0.3585694930082418,0.4735430194813312,,
9,4.371563,0.328685,0.323308,0.998155,0.149402,14.135137,1004,330,266,86,180,0.3669058759053541,0.4951171794862789,,
10,4.251244,0.313121,0.318548,0.998153,0.145129,13.971466,1006,315,248,79,169,0.3585896523390545,0.35532632909655476,,
11,4.174957,0.317097,0.331915,0.998309,0.161034,14.029937,1006,319,235,78,157,0.361560612311343,0.26669380825140154,,
12,4.152104,0.326942,0.343348,0.998293,0.172553,13.84964,991,324,233,80,153,0.35239962795799545,0.2401424604599938,,
13,4.361837,0.29285,0.327731,0.998153,0.136141,14.378253,1021,299,238,78,160,0.3792587028561337,0.4838170000110428,,
14,4.22014,0.312562,0.331754,0.99824,0.173096,14.058796,1011,316,211,70,141,0.36302696515545535,0.31918908826728554,,
15,4.479942,0.326305,0.335593,0.998085,0.129518,14.216555,996,325,295,99,196,0.37104273952514427,0.6210353153559629,,
16,4.289663,0.304129,0.330709,0.998216,0.132931,14.172039,993,302,254,84,170,0.3687808526279759,0.39996283259446946,,
17,4.386992,0.300098,0.389121,0.998222,0.15738,14.414047,1023,307,239,93,146,0.38107741681073953,0.5130435328257593,,
18,4.304127,0.305905,0.310469,0.998161,0.121007,14.218209,1033,316,277,86,191,0.3711268165800795,0.4167674663794855,,
19,4.348238,0.345287,0.337398,0.998212,0.178279,14.318123,976,337,246,83,163,0.3762034783786149,0.46801759183893327,,
20,4.452848,0.307034,0.386973,0.998161,0.154943,14.356091,1052,323,261,101,160,0.37813263633756006,0.5895571245491564,,
21,4.319481,0.282524,0.367442,0.998201,0.150485,13.97522,1030,291,215,79,136,0.35878038704623866,0.4346063033249197,,
22,4.390174,0.330669,0.325175,0.998194,0.137862,14.039313,1001,331,286,93,193,0.36203700218019447,0.5167405150292975,,
23,4.358248,0.325605,0.356877,0.998181,0.15121,14.19469,992,323,269,96,173,0.36993177452987835,0.4796479479602312,,
24,4.411656,0.314058,0.299611,0.998089,0.134596,14.30981,1003,315,257,77,180,0.37578107762986607,0.5416990667733756,,
25,4.280162,0.299163,0.3125,0.998183,0.161088,14.060842,956,286,192,60,132,0.3631309122730402,0.3889242319221394,,
26,4.321713,0.311881,0.377593,0.998222,0.163366,14.063887,1010,315,241,91,150,0.36328564120530543,0.437200004191556,,
27,4.415219,0.348178,0.396552,0.998228,0.171053,13.985467,988,344,290,115,175,0.3593010562335301,0.5458380460901329,,
28,4.435529,0.345491,0.349315,0.998171,0.152989,14.217926,987,341,292,102,190,0.371112430287176,0.5694352066840236,,
29,4.254307,0.319527,0.357143,0.998208,0.177515,13.954744,1014,324,224,80,144,0.35773999604480355,0.35888543870096506,,
