ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,5.140702,0.769231,0.545455,0.993159,0.641026,16.859624,39,30,11,6,5,0.2567214293597457,0.0,,
1,5.585617,0.62963,0.666667,0.990869,0.518519,19.845572,54,34,18,12,6,0.3522382251932347,1.0,,
2,5.316713,0.775,0.666667,0.990639,0.7,19.473795,40,31,9,6,3,0.34034556063713106,0.3956052677355114,,
3,5.00549,0.679245,0.5,0.991771,0.603774,18.092459,53,36,8,4,4,0.2961583135624803,0.0,,
4,5.228742,0.583333,0.625,0.990155,0.458333,19.686053,48,28,16,10,6,0.34527856621105485,0.38483392817173584,,
5,4.888333,0.76,0.25,0.99114,0.7,20.234878,50,38,4,1,3,0.36274089786574004,0.0,,
6,4.987562,0.660377,0.5,0.992123,0.622642,18.65789,53,35,4,2,2,0.3125648263423116,0.14230862264563157,,
7,5.189985,0.666667,0.6,0.991175,0.619048,18.85109,42,28,5,3,2,0.31871198881576224,0.43261051045788484,,
8,5.552917,0.689655,0.625,0.992271,0.534483,18.880822,58,40,24,15,9,0.3196580005246415,0.9531041957670479,,
9,5.495749,0.654545,1.0,0.989602,0.654545,21.351837,55,36,7,7,0,0.39827990814470415,0.8711175405041118,,
10,5.376285,0.576923,0.272727,0.991407,0.423077,20.815307,52,30,11,3,8,0.40018634452331003,0.6997893262206777,,
11,5.285533,0.565217,0.636364,0.9915,0.478261,19.045006,46,26,11,7,4,0.34558698794037734,0.569639376901569,,
12,5.14189,0.652174,1.0,0.990584,0.652174,18.118948,46,30,3,3,0,0.31300930538437133,0.3636360881499913,,
13,4.997387,0.561404,0.727273,0.993484,0.508772,16.177775,57,32,11,8,3,0.25389840680521897,0.15639798236542626,,
14,4.899549,0.648148,0.5,0.991614,0.574074,18.406251,54,35,8,4,4,0.3217579907274276,0.016085850549438476,,
15,5.215809,0.722222,0.666667,0.991033,0.666667,18.914879,54,39,9,6,3,0.3372462953847311,0.46964481845385986,,
16,4.828046,0.571429,0.666667,0.992718,0.530612,19.456283,49,28,6,4,2,0.3537326463182766,0.0,,
17,4.982832,0.568182,0.8,0.993368,0.545455,17.437012,44,25,5,4,1,0.2922435748565059,0.20431922149993048,,
18,4.86098,0.666667,1.0,0.992556,0.666667,18.469037,51,34,5,5,0,0.3236698921598834,0.04347305848541307,,
19,5.246584,0.66,0.75,0.991077,0.62,18.584673,50,33,8,6,2,0.32719112908470244,0.5524736340145007,,
20,5.299923,0.62963,0.75,0.991655,0.611111,20.882345,54,34,4,3,1,0.39715783459962495,0.6228812530173092,,
21,5.159691,0.75,0.833333,0.992345,0.730769,18.625535,52,39,6,5,1,0.32843543002835796,0.4377747785745288,,
22,5.159482,0.673077,0.555556,0.992302,0.596154,19.728179,52,35,9,5,4,0.36201216830311583,0.43749894145425816,,
23,5.102408,0.666667,0.3,0.990614,0.529412,19.703624,51,34,10,3,7,0.3612644632110631,0.36215985866357353,,
24,5.171397,0.688889,0.5,0.991048,0.644444,19.416916,45,31,4,2,2,0.35253386196997766,0.4532267391178916,,
25,4.55341,0.727273,0.4,0.993974,0.659091,15.892666,44,32,5,2,3,0.24521649300325093,0.0,,
26,5.023054,0.723404,0.571429,0.991997,0.659574,18.506681,47,34,7,4,3,0.3248161941936502,0.45499013995758053,,
27,5.146322,0.576923,0.533333,0.991911,0.442308,19.365107,52,30,15,8,7,0.3509562416818497,0.5744120936332983,,
28,4.87529,0.592593,1.0,0.992143,0.592593,19.371459,54,32,5,5,0,0.3511496585160022,0.3118363625159707,,
29,5.131671,0.64,0.75,0.992679,0.62,18.490433,50,32,4,3,1,0.324321431079331,0.5602180907055273,,
