ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.197067,0.923077,0.6,0.997952,0.820513,13.709061,39,36,10,6,4,0.2954601316904484,0.0,,
1,4.360326,0.759259,0.545455,0.99807,0.666667,14.418476,54,41,11,6,5,0.33274491676746737,1.0,,
2,4.611949,0.925,1.0,0.997919,0.925,15.223428,40,37,6,6,0,0.3750509106784151,1.0,,
3,3.976327,0.735849,0.25,0.998294,0.679245,13.732732,53,39,4,1,3,0.29670417731498194,0.0,,
4,4.085393,0.770833,0.4,0.998089,0.645833,13.825795,48,37,10,4,6,0.30159533147237927,0.17158931304970956,,
5,3.953594,0.82,0.333333,0.998225,0.78,14.712404,50,41,3,1,2,0.34819292950275604,0.0,,
6,4.074949,0.811321,0.6,0.998266,0.773585,13.742804,53,43,5,3,2,0.2972335668801408,0.18433039015257355,,
7,4.408279,0.761905,0.6,0.997789,0.714286,14.075916,42,32,5,3,2,0.3147409917682005,0.6906376453639889,,
8,4.445055,0.758621,0.733333,0.998234,0.689655,14.598872,58,44,15,11,4,0.3422260380256463,0.7464980338212788,,
9,4.390289,0.763636,1.0,0.997979,0.763636,15.191214,55,42,2,2,0,0.3733578561384886,0.6633126797745326,,
10,4.232223,0.730769,0.222222,0.998116,0.596154,16.088017,52,38,9,2,7,0.4204912452193277,0.4232196945478966,,
11,4.306227,0.73913,0.5,0.997833,0.695652,14.140177,46,34,4,2,2,0.3181183601011702,0.5356274649895942,,
12,4.288329,0.782609,1.0,0.997999,0.782609,13.861671,46,36,2,2,0,0.30348083890527394,0.508441729975357,,
13,4.183618,0.736842,0.75,0.997969,0.719298,13.792338,57,42,4,3,1,0.31914811503010526,0.3493917093367535,,
14,4.186438,0.759259,0.571429,0.998025,0.703704,14.729094,54,41,7,4,3,0.36702345565167954,0.35367573238411565,,
15,4.147257,0.740741,0.6,0.997913,0.703704,14.516452,54,40,5,3,2,0.3561558444825605,0.2941628207057711,,
16,4.169976,0.693878,0.333333,0.998153,0.612245,14.748836,49,34,6,2,4,0.3680323943664462,0.32867084500037647,,
17,4.224044,0.772727,1.0,0.998094,0.772727,13.724713,44,34,5,5,0,0.31569197090664647,0.4107965194178562,,
18,4.19239,0.72549,1.0,0.998061,0.72549,14.259366,51,37,2,2,0,0.34301678124795976,0.3627170501870842,,
19,4.249443,0.78,1.0,0.998059,0.78,14.137876,50,39,2,2,0,0.33680775252900014,0.4493758768567481,,
20,4.157016,0.777778,0.2,0.99818,0.703704,14.897986,54,42,5,1,4,0.3756550846919591,0.30898498401514696,,
21,4.267228,0.807692,0.75,0.998019,0.788462,14.624487,52,42,4,3,1,0.3616772260209913,0.4763899289029474,,
22,4.114901,0.807692,0.833333,0.998102,0.788462,15.246978,52,42,6,5,1,0.393491246996038,0.24501486790975108,,
23,4.35464,0.745098,0.333333,0.997891,0.627451,15.131624,51,38,9,3,6,0.3875957872029866,0.6091630115892691,,
24,4.40904,0.844444,0.5,0.997948,0.8,14.796243,45,38,4,2,2,0.3704552704697273,0.6917933261440544,,
25,3.992233,0.840909,0.333333,0.997965,0.795455,13.059101,44,37,3,1,2,0.28167417078062484,0.05869083611238083,,
26,4.270544,0.851064,0.25,0.998036,0.787234,14.400379,47,40,4,1,3,0.35022360850321915,0.4814269285903365,,
27,4.148583,0.730769,0.142857,0.998233,0.615385,14.841315,52,38,7,1,6,0.3727587838864228,0.2961760800816188,,
28,4.005811,0.759259,1.0,0.998208,0.759259,14.17632,54,41,4,4,0,0.33877248722921294,0.07931451672354728,,
29,4.205668,0.78,0.5,0.997964,0.74,15.435906,50,39,4,2,2,0.4031468461163995,0.3828852322544277,,
