steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL,BEAR,BEAR-FULL
100,4.347180966666667,4.367791333333334,4.257658866666667,4.2515512666666675,4.161897833333333,6.425682800000001,4.220294566666667,5.195111566666665
200,4.309570033333333,4.335719666666666,4.386181133333333,4.256376033333334,4.174306866666666,6.2934502666666665,4.214637066666667,5.2235938
300,4.242838766666666,4.289575766666668,4.447910233333333,4.285166433333333,4.190258966666667,6.259833866666665,4.2293674,5.3160110000000005
400,4.260401266666666,4.321871333333334,4.498854033333333,4.339278966666667,4.223967466666667,6.2260596999999995,4.2693965,5.3765136333333325
500,4.296294866666667,4.3238132,4.5274747,4.3589686,4.266362866666666,6.2240349,4.2911635,5.4256585
600,4.310684766666666,4.327752066666665,4.5935991666666665,4.376584033333333,4.2720940333333335,6.2180839666666685,4.293893533333333,5.433454733333333
700,4.269697766666666,4.298859199999999,4.5964602,4.3600416,4.2825402666666665,6.2335212333333345,4.294444866666667,5.408769799999999
800,4.2824085,4.301441366666666,4.603872700000001,4.348266433333333,4.249279366666666,6.189958,4.263617033333333,5.4520992
900,4.292540766666667,4.297231366666667,4.6304308333333335,4.3635557,4.267582366666667,6.192698699999999,4.2884086,5.447665600000001
1500,4.3324411666666665,4.290654366666667,4.6551648000000005,4.3820193,4.2836056,6.144202066666666,4.3010507333333345,5.468757366666667
2000,4.3434615999999995,4.303466799999999,4.702097033333334,4.413561233333334,4.315132533333334,6.150210166666667,4.3350463,5.510970966666665
