steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL
100,13.888852466666666,14.3825996,14.368579333333336,14.332214100000003,14.224866433333334,16.101980700000002
200,13.703314199999996,14.380097066666664,14.496790166666669,14.221980266666666,14.091087033333334,15.928309766666665
300,13.473001766666666,14.400541666666664,14.603604766666669,14.146063566666664,13.96368913333333,15.986508933333331
400,13.574338033333332,14.465874233333334,14.643049066666666,14.153281333333332,14.050071033333332,15.884749633333334
500,13.6181444,14.595097366666664,14.739566733333334,14.208034133333337,14.116231266666668,16.08678886666667
600,13.552430633333332,14.485109966666668,14.7295925,14.1029948,14.035038300000004,15.909241266666667
700,13.492737466666666,14.478995800000002,14.779455966666664,14.095516900000002,14.0258202,15.9602947
800,13.519252033333332,14.454376833333336,14.786844733333334,14.102887233333332,14.004238733333336,15.85307063333333
900,13.518791766666668,14.538494733333334,14.852522166666668,14.100249133333334,14.0250639,15.951716833333336
1500,13.4648241,14.521075566666669,14.84620603333333,14.175740766666664,13.9837191,15.83429
2000,13.462358166666665,14.5253581,14.9306078,14.125201466666669,14.014108,15.842583233333333
