steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL
100,0.6597051333333332,0.0,0.5760761666666666,0.5762638333333333,0.5762638333333333,0.5093254
200,0.5763075000000001,0.0,0.5363480333333333,0.4936801333333333,0.4938437333333334,0.5514759
300,0.4897167,0.0,0.4176779333333333,0.4101331333333333,0.4120175333333334,0.4014292
400,0.4528524333333333,0.0,0.4244892,0.4021402999999999,0.4067180333333334,0.4171595333333334
500,0.4307592333333334,0.0,0.3647758333333333,0.3589375333333333,0.3632928333333333,0.3738636
600,0.4478454999999999,0.0,0.3965198333333332,0.3854450333333333,0.3855987333333333,0.3926468
700,0.4401853333333332,0.0,0.4020154999999999,0.3953288666666666,0.3900452,0.3777348333333333
800,0.4433114,0.0,0.3804158666666667,0.3741977999999999,0.3792493666666667,0.3705441
900,0.4216006333333333,0.0,0.3571017,0.3548146666666666,0.3486070666666667,0.3581651666666666
1500,0.4111113,0.0,0.3519301333333333,0.3398294666666667,0.3441269666666666,0.3434329333333333
2000,0.4115999999999999,0.0,0.3492678,0.3390465666666667,0.3445267000000001,0.3425556666666667
