ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,6.197692,0.339744,0.428571,0.996914,0.211538,16.364292,156,53,35,15,20,0.446016318245826,0.33217988734730075,,
1,6.46941,0.337662,0.517241,0.996734,0.246753,16.018707,154,52,29,15,14,0.4270291142168434,0.682095331479433,,
2,6.250826,0.367347,0.454545,0.996672,0.204082,15.256115,147,54,44,20,24,0.3851307046009714,0.4006058248027714,,
3,6.541554,0.383117,0.27027,0.996862,0.207792,17.06056,154,59,37,10,27,0.48427076472652897,0.7750017941954489,,
4,6.372583,0.42069,0.456522,0.996737,0.248276,16.258206,145,61,46,21,25,0.4401877446058136,0.5574021043272984,,
5,6.224576,0.406452,0.4,0.99686,0.232258,15.894318,155,63,45,18,27,0.4201949172358356,0.3668009968548979,,
6,6.545494,0.327044,0.4375,0.996657,0.213836,15.782445,159,52,32,14,18,0.4140484043273672,0.7800761541355122,,
7,6.262248,0.335526,0.5625,0.996975,0.243421,16.450994,152,51,32,18,14,0.45077988133497215,0.41531415947794964,,
8,6.291949,0.37594,0.52,0.996991,0.285714,16.356092,133,50,25,13,12,0.4455658016230188,0.4535625830721768,,
9,6.324464,0.390728,0.461538,0.996886,0.251656,16.500692,151,59,39,18,21,0.4535104494045476,0.49543619420694224,,
10,6.284848,0.318182,0.542857,0.996815,0.214286,16.647745,154,49,35,19,16,0.4615898221892336,0.44441811291656935,,
11,5.959967,0.32716,0.605263,0.996965,0.234568,15.426176,162,53,38,23,15,0.3944742341369789,0.02604065941844961,,
12,6.382695,0.344156,0.441176,0.996882,0.220779,16.54898,154,53,34,15,19,0.45616347216588854,0.5704244565095332,,
13,6.183723,0.329032,0.566667,0.996797,0.245161,15.652431,155,51,30,17,13,0.40690517453981767,0.3141912800221345,,
14,6.356582,0.365385,0.487805,0.996703,0.230769,15.735044,156,57,41,20,21,0.41144407630958135,0.5367966994927932,,
15,6.084667,0.33758,0.594595,0.996928,0.242038,16.067921,157,53,37,22,15,0.4297330558905569,0.1866271034409626,,
16,6.204666,0.322785,0.55,0.996823,0.208861,15.922501,158,51,40,22,18,0.4217433861232277,0.3411611239950949,,
17,6.36378,0.38125,0.423077,0.996938,0.19375,16.520185,160,61,52,22,30,0.45458141610010355,0.5460667869678996,,
18,6.197074,0.409396,0.428571,0.997009,0.275168,15.575963,149,61,35,15,20,0.4027038461231247,0.33138393102255004,,
19,6.328356,0.384106,0.325581,0.996825,0.192053,15.551519,151,58,43,14,29,0.4013608427122935,0.5004479325016077,,
20,6.450131,0.344156,0.375,0.996963,0.246753,16.153134,154,53,24,9,15,0.4344148342841007,0.6572680651814758,,
21,6.051072,0.364865,0.568182,0.996878,0.236486,15.958505,148,54,44,25,19,0.4237214882979977,0.1433645622632156,,
22,6.07303,0.347222,0.487805,0.996891,0.201389,15.574614,144,50,41,20,21,0.4026296986595604,0.17164133529690723,,
23,6.047002,0.314465,0.547619,0.99682,0.194969,16.340598,159,50,42,23,19,0.44471452793773575,0.13812356151260008,,
24,6.1787,0.361446,0.509804,0.996762,0.210843,15.096571,166,60,51,26,25,0.3763650200914328,0.30772269610987746,,
25,6.338641,0.341935,0.458333,0.996897,0.258065,15.392209,155,53,24,11,13,0.3926079967659126,0.5136924758999664,,
26,6.164124,0.348684,0.64,0.996923,0.289474,16.582028,152,53,25,16,9,0.4579792046627522,0.2889515802524693,,
27,6.294016,0.330986,0.585366,0.996638,0.211268,15.412518,142,47,41,24,17,0.39372383678781453,0.45622516238403416,,
28,6.063899,0.383562,0.571429,0.99706,0.280822,15.414411,146,56,35,20,15,0.38563248668056405,0.1598828735604096,,
29,6.307247,0.363636,0.473684,0.996763,0.233766,16.079794,154,56,38,18,20,0.42142933665177373,0.47326386462342596,,
