ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.578198,0.418338,0.386792,0.997551,0.232092,14.492086,349,146,106,41,65,0.2829081684259209,0.6565666502300685,,
1,4.635533,0.442857,0.383333,0.99728,0.231429,14.857935,350,155,120,46,74,0.297085638309016,0.7153402284168963,,
2,4.77895,0.410405,0.320611,0.997466,0.153179,14.708582,346,142,131,42,89,0.29129787084619363,0.862356023241109,,
3,4.667835,0.399449,0.412371,0.997293,0.242424,14.797722,363,145,97,40,57,0.2947522630963161,0.748453189365356,,
4,4.525822,0.435673,0.458333,0.997649,0.283626,14.327491,342,149,96,44,52,0.27652972281000565,0.6028769139347938,,
5,4.530182,0.44012,0.47619,0.997489,0.308383,14.639635,334,147,84,40,44,0.2886260170324554,0.6073458183638079,,
6,4.547824,0.418398,0.366972,0.997474,0.21365,14.253496,337,141,109,40,69,0.2736622519455806,0.6254301439907065,,
7,4.718519,0.385417,0.325,0.99745,0.174479,15.013436,384,148,120,39,81,0.3031116742253982,0.8004088988548128,,
8,4.402985,0.402235,0.30303,0.997724,0.209497,14.519983,358,144,99,30,69,0.28398921134852617,0.47695696030124757,,
9,4.668337,0.445402,0.373016,0.997338,0.218391,15.377782,348,155,126,47,79,0.3172309087046414,0.7489672140898179,,
10,4.536598,0.412791,0.4,0.997622,0.255814,14.846214,344,142,90,36,54,0.2966314170023752,0.6139233840335078,,
11,4.754422,0.437853,0.403509,0.99717,0.245763,14.826084,354,155,114,46,68,0.29585133509399547,0.8372129127625596,,
12,4.561108,0.392265,0.354545,0.997385,0.196133,15.017718,362,142,110,39,71,0.3032775990934663,0.639047859793165,,
13,4.521874,0.406077,0.449541,0.997326,0.240331,14.659451,362,147,109,49,60,0.2816575488135108,0.5988292181620056,,
14,4.562366,0.41543,0.405063,0.997412,0.275964,14.864563,337,140,79,32,47,0.2893936345260393,0.6403372842928374,,
15,4.568793,0.474627,0.412281,0.997649,0.274627,14.570865,335,159,114,47,67,0.2783164259322844,0.6469255371176974,,
16,4.793866,0.376316,0.41129,0.997569,0.184211,14.987137,380,143,124,51,73,0.29401664543476086,0.8776458674144842,,
17,4.408041,0.48773,0.417582,0.997565,0.325153,14.644068,326,159,91,38,53,0.2810773757432395,0.48213975258653835,,
18,4.638346,0.350267,0.482353,0.997499,0.23262,14.984402,374,131,85,41,44,0.29391350730991445,0.7182243155670499,,
19,4.724448,0.412256,0.39823,0.997078,0.222841,14.786342,359,148,113,45,68,0.2864434158621299,0.8064859492721733,,
20,4.731753,0.428986,0.469136,0.997173,0.304348,15.248079,345,148,81,38,43,0.3038584136497262,0.8139742275887946,,
21,4.479997,0.419825,0.347107,0.997703,0.189504,14.900618,343,144,121,42,79,0.29075347796722356,0.5559017451088466,,
22,4.418311,0.401734,0.402174,0.997557,0.242775,14.453782,346,139,92,37,55,0.27390046741505064,0.4926677925730158,,
23,4.632449,0.431487,0.388889,0.997511,0.239067,14.355573,343,148,108,42,66,0.2701964035900803,0.7121794901615343,,
24,4.611364,0.449102,0.40566,0.997415,0.260479,15.314465,334,150,106,43,63,0.3063622470707337,0.6905644807458783,,
25,4.73572,0.41954,0.490385,0.99711,0.267241,14.995047,348,146,104,51,53,0.29431498212102086,0.8180411203484188,,
26,4.48101,0.42042,0.443038,0.997709,0.288288,14.683538,333,140,79,35,44,0.28256602598741754,0.556939604212502,,
27,4.417177,0.414986,0.402439,0.997721,0.273775,14.606692,347,144,82,33,49,0.2796676807514412,0.4915051178418303,,
28,4.689078,0.434286,0.367925,0.997283,0.242857,14.64574,350,152,106,39,67,0.2811404098897477,0.7702288917325383,,
29,4.5729,0.427245,0.40367,0.997506,0.226006,15.005153,323,138,109,44,65,0.2946961405458613,0.6511352998551324,,
