ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.398143,0.343612,0.287879,0.998185,0.136564,14.498611,227,78,66,19,47,0.4024434908277178,0.7723251528412175,,
1,4.212668,0.394309,0.333333,0.998209,0.231707,14.215707,246,97,60,20,40,0.3866903709980578,0.5110307860009411,,
2,4.349363,0.348178,0.45,0.998199,0.214575,13.731465,247,86,60,27,33,0.3597259576253296,0.7036048804962086,,
3,4.633415,0.294776,0.28125,0.997931,0.123134,14.655886,268,79,64,18,46,0.4112011709691859,1.0,,
4,4.247538,0.3625,0.305085,0.998242,0.191667,14.1234,240,87,59,18,41,0.38155035446112817,0.5074906376326417,,
5,4.109413,0.374046,0.245283,0.99834,0.221374,13.877679,262,98,53,13,40,0.3678677071480306,0.33119659185602884,,
6,4.037741,0.358779,0.206349,0.998341,0.167939,14.244065,262,94,63,13,50,0.3882694650634474,0.23971974190533105,,
7,4.358078,0.354167,0.325581,0.998165,0.233333,14.382197,240,85,43,14,29,0.39596113652694237,0.648577721641223,,
8,4.184809,0.335793,0.381818,0.998294,0.210332,14.128214,271,91,55,21,34,0.381818413978628,0.427427200096988,,
9,4.400516,0.364,0.4,0.998148,0.232,14.669514,250,91,55,22,33,0.41196003226508066,0.7027423669193215,,
10,4.339748,0.329317,0.434783,0.998165,0.2249,13.528483,249,82,46,20,26,0.3484231452979688,0.6251815868016045,,
11,4.150528,0.376569,0.428571,0.998325,0.259414,14.113071,239,90,49,21,28,0.3809751809913844,0.38367399208878605,,
12,4.062785,0.38,0.269231,0.998301,0.228,13.71348,250,95,52,14,38,0.358724483478329,0.2716837839344887,,
13,4.126624,0.335968,0.365385,0.998303,0.205534,13.881084,253,85,52,19,33,0.36805731466431535,0.3531645322219557,,
14,3.971533,0.337079,0.333333,0.998443,0.194757,13.687673,267,90,57,19,38,0.3572874162587614,0.15521599306337258,,
15,4.14055,0.355102,0.4,0.998255,0.293878,14.077119,245,87,25,10,15,0.381715373204777,0.37093850535188505,,
16,4.389138,0.344398,0.372093,0.998144,0.232365,14.590211,241,83,43,16,27,0.4101600946327942,0.6882200299963398,,
17,4.261429,0.343612,0.365385,0.998258,0.198238,13.973418,227,78,52,19,33,0.3759663921861165,0.5252209242411182,,
18,4.457378,0.367769,0.446429,0.998196,0.239669,14.345724,242,89,56,25,31,0.3966062756348153,0.7753169540532416,,
19,4.081395,0.340081,0.465116,0.998354,0.246964,13.334815,247,84,43,20,23,0.34056360348729364,0.2954365273375984,,
20,4.420199,0.342412,0.359375,0.998155,0.182879,14.446881,257,88,64,23,41,0.402214215094746,0.7278640571929927,,
21,4.24105,0.350746,0.42,0.998282,0.242537,14.390274,268,94,50,21,29,0.39907602453229507,0.4992102079595324,,
22,4.466355,0.372624,0.285714,0.998091,0.163498,14.604369,263,98,77,22,55,0.4109450012843042,0.7867756177877477,,
23,4.324217,0.348837,0.396552,0.998212,0.213178,13.97492,258,90,58,23,35,0.3760496550850914,0.6053592790489629,,
24,4.167391,0.328244,0.538462,0.998259,0.259542,13.625953,262,86,39,21,18,0.356703696238049,0.405196200328549,,
25,4.182926,0.376033,0.267606,0.998277,0.161157,13.894691,242,91,71,19,52,0.37160191966639466,0.4250238777652443,,
26,4.2776,0.381679,0.424242,0.998269,0.236641,13.911197,262,100,66,28,38,0.3725169895008036,0.5458601296540363,,
27,4.343196,0.378378,0.317073,0.998189,0.162162,13.750374,259,98,82,26,56,0.3636013340868617,0.6295822957589715,,
28,4.316123,0.333333,0.45,0.998271,0.203922,14.707037,255,85,60,27,33,0.41663668506241675,0.5950280954988153,,
29,4.339037,0.326531,0.342857,0.998217,0.232653,14.409426,245,80,35,12,23,0.4001377557089139,0.624274163009758,,
