ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.255449,0.671598,0.0,0.998053,0.017751,14.436785,1014,681,663,0,663,0.3847437775199054,0.3414166034345725,,
1,4.311518,0.647117,0.0,0.998001,0.006958,14.632988,1006,651,644,0,644,0.3939085368074155,0.4111856950298317,,
2,4.310227,0.70439,0.0,0.998028,0.000976,14.595616,1025,722,721,0,721,0.3921628411582331,0.40957902015392994,,
3,4.233853,0.736634,0.0,0.998095,0.011881,14.241526,1010,744,732,0,732,0.37562315555636633,0.31454425774495515,,
4,4.356284,0.712891,0.0,0.997996,0.0,14.551209,1024,730,730,0,730,0.39008858779624556,0.46688874432477095,,
5,4.323894,0.692619,0.0,0.998015,0.016178,14.395613,989,685,669,0,669,0.38282062089951957,0.42658567821139787,,
6,4.337883,0.691457,0.0,0.998027,0.001005,14.614156,995,688,687,0,687,0.39302888005417985,0.44399190814176936,,
7,4.332227,0.675273,0.0,0.997993,0.00993,14.50788,1007,680,670,0,670,0.3880646843708218,0.43695385102358814,,
8,4.252511,0.631527,0.0,0.99803,0.009852,14.452823,1015,641,631,0,631,0.3854929460496432,0.3377602034460444,,
9,4.310365,0.685259,0.0,0.997987,0.00996,14.512288,1004,688,678,0,678,0.38827058217918536,0.40975021034623316,,
10,4.28865,0.698807,0.0,0.997973,0.010934,14.629771,1006,703,692,0,692,0.39375824263802056,0.3827296075376958,,
11,4.322882,0.740557,0.0,0.99802,0.00994,14.478893,1006,745,735,0,735,0.38671065826612416,0.42532551927513024,,
12,4.203093,0.697275,0.0,0.998083,0.027245,14.264513,991,691,664,0,664,0.376696886803078,0.27626767994446483,,
13,4.340454,0.680705,0.0,0.997995,0.023506,14.541378,1021,695,671,0,671,0.3896293647812653,0.44719121897817204,,
14,4.21969,0.718101,0.0,0.998122,0.013848,14.313018,1011,726,712,0,712,0.3789625781013981,0.2969209189185032,,
15,4.410732,0.669679,0.0,0.997962,0.003012,14.578991,996,667,664,0,664,0.3913862804185893,0.5346415264491697,,
16,4.313344,0.65861,0.0,0.997995,0.001007,14.637319,993,654,653,0,653,0.3941108027108491,0.41345721133193303,,
17,4.336688,0.71261,0.0,0.997983,0.017595,14.702255,1023,729,711,0,711,0.39714402916249364,0.44250485685354185,,
18,4.288855,0.667957,0.0,0.997978,0.00484,14.739933,1033,690,685,0,685,0.39890395868299616,0.3829855295620217,,
19,4.265453,0.692623,0.0,0.998053,0.012295,14.5509,976,676,664,0,664,0.3900741721710185,0.3538653128036402,,
20,4.35415,0.714829,0.0,0.997975,0.020913,14.636199,1052,752,730,0,730,0.3940585143901511,0.46423363450119376,,
21,4.286555,0.697087,0.0,0.998001,0.005825,14.542569,1030,718,712,0,712,0.3896850128593347,0.38012325793286456,,
22,4.246186,0.682318,0.0,0.998009,0.008991,14.388962,1001,683,674,0,674,0.38250997157022326,0.32989047980225755,,
23,4.25057,0.700605,0.0,0.998037,0.0,14.485294,992,695,695,0,695,0.38700967267771225,0.3353460591300299,,
24,4.310414,0.684945,0.0,0.997979,0.004985,14.627181,1003,687,682,0,682,0.39363724738685496,0.4098114773449413,,
25,4.305392,0.705021,0.0,0.998031,0.020921,14.563002,956,674,654,0,654,0.39063945944494427,0.4035623092339943,,
26,4.318807,0.730693,0.0,0.99802,0.007921,14.608751,1010,738,730,0,730,0.3927763785958356,0.42025531730707993,,
27,4.357639,0.758097,0.0,0.998053,0.021255,14.63326,988,749,728,0,728,0.39392120790264123,0.46857544264253836,,
28,4.393006,0.718338,0.0,0.997979,0.023303,14.558501,987,709,686,0,686,0.3904292084117115,0.512584099942222,,
29,4.267233,0.712032,0.0,0.998053,0.015779,14.339169,1014,722,706,0,706,0.3801841281971296,0.35607988518150435,,
