ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.292811,0.948718,0.555556,0.996107,0.846154,13.496779,39,37,9,5,4,0.3589299179248957,0.0,,
1,4.484797,0.777778,0.545455,0.993728,0.685185,13.650459,54,42,11,6,5,0.4118189706177257,1.0,,
2,4.579522,0.925,1.0,0.996798,0.925,14.826631,40,37,6,6,0,0.5345271669700232,1.0,,
3,4.11341,0.735849,0.25,0.996333,0.679245,13.697513,53,39,4,1,3,0.4714457557844849,0.0,,
4,4.204512,0.8125,0.4,0.995065,0.6875,13.46761,48,39,10,4,6,0.44101527163238025,0.19545073093362375,,
5,3.849922,0.82,0.333333,0.998359,0.78,14.332086,50,41,3,1,2,0.48745962518466474,0.0,,
6,4.072156,0.811321,0.6,0.996673,0.773585,13.29789,53,43,5,3,2,0.4318970111547536,0.30459635408593316,,
7,4.55937,0.833333,0.6,0.990795,0.785714,13.039429,42,35,5,3,2,0.4180110559378699,0.97237908620839,,
8,4.520089,0.810345,0.714286,0.994269,0.741379,13.889817,58,47,14,10,4,0.4849190583138317,0.918540030914985,,
9,4.286486,0.745455,1.0,0.998129,0.745455,14.994369,55,41,2,2,0,0.5419135078642457,0.5983601983434037,,
10,4.296708,0.807692,0.125,0.99198,0.673077,14.717433,52,42,8,1,7,0.5374462112218942,0.6123708171559951,,
11,4.344683,0.782609,0.6,0.995093,0.73913,13.666771,46,36,5,3,2,0.485503379780885,0.6781263024207914,,
12,4.296735,0.826087,1.0,0.994608,0.826087,13.177855,46,38,2,2,0,0.46133223112567534,0.6124073064440984,,
13,4.177861,0.754386,0.75,0.99625,0.736842,13.010542,57,43,4,3,1,0.4530606182555628,0.44947787111848236,,
14,4.078343,0.777778,0.571429,0.996094,0.722222,13.737832,54,42,7,4,3,0.4890165125207248,0.31307602664662537,,
15,4.171008,0.740741,0.6,0.996712,0.703704,14.120163,54,40,5,3,2,0.5079182236338687,0.44008508956479225,,
16,4.111137,0.714286,0.333333,0.996934,0.632653,14.219567,49,35,6,2,4,0.5128325913131841,0.3580242621241694,,
17,4.367736,0.863636,1.0,0.99244,0.863636,13.058525,44,38,5,5,0,0.4554328139234445,0.7097226528981831,,
18,4.295312,0.764706,1.0,0.993838,0.764706,13.509915,51,39,2,2,0,0.47774868909869356,0.6104576818121076,,
19,4.232733,0.8,1.0,0.99403,0.8,13.281184,50,40,2,2,0,0.4664406492072453,0.5246860654914228,,
20,4.120383,0.796296,0.2,0.997462,0.722222,14.692408,54,43,5,1,4,0.5362090198540819,0.3706969608043893,,
21,4.32233,0.846154,0.75,0.995748,0.826923,14.149959,52,44,4,3,1,0.5093913246705762,0.6474890741830919,,
22,4.082802,0.788462,0.8,0.996869,0.769231,14.674601,52,41,5,4,1,0.5353286334429433,0.3191874514528393,,
23,4.388287,0.843137,0.333333,0.993026,0.72549,13.968246,51,43,9,3,6,0.5004077551381413,0.7378900771883892,,
24,4.397848,0.844444,0.5,0.998094,0.8,14.57315,45,38,4,2,2,0.5303131059810752,0.7509952955421509,,
25,4.047645,0.909091,0.333333,0.994376,0.863636,12.435073,44,40,3,1,2,0.4246104702842414,0.27100085873155827,,
26,4.307928,0.893617,0.25,0.995576,0.829787,13.763429,47,42,4,1,3,0.4902819566904128,0.6277494456771502,,
27,4.291669,0.769231,0.142857,0.994812,0.653846,14.552864,52,40,7,1,6,0.5293101850035767,0.6054646537739402,,
28,4.089836,0.759259,1.0,0.996387,0.759259,13.85739,54,41,4,4,0,0.4949272266176492,0.3288291364510821,,
29,4.162479,0.76,0.0,0.994586,0.72,14.806084,50,38,2,0,2,0.5418289251602209,0.42839416833105914,,
