ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,6.785696,0.030702,0.0,0.996636,1.0,4.759924,228,7,0,0,0,0.5406181282894277,0.0,,
1,6.664106,0.06278,0.0,0.997432,1.0,5.102319,223,14,0,0,0,0.5346400957861771,0.0,,
2,6.63072,0.028807,0.0,0.997176,1.0,4.645557,243,7,0,0,0,0.4331259294402136,0.0,,
3,6.690762,0.022831,0.0,0.997605,1.0,4.374397,219,5,0,0,0,0.3728613116450225,0.387426909066035,,
4,7.048687,0.020747,0.0,0.998088,1.0,5.394825,241,5,0,0,0,0.5996487502623128,1.0,,
5,6.659385,0.038298,0.0,0.99772,1.0,4.697318,235,9,0,0,0,0.4446296146632313,0.06858222698644717,,
6,6.166904,0.028689,0.0,0.997473,1.0,4.382806,244,7,0,0,0,0.37473017441089285,0.0,,
7,7.577569,0.035088,0.0,0.997021,1.0,5.216772,228,8,0,0,0,0.5600768767608982,1.0,,
8,5.284478,0.012658,0.0,0.998454,1.0,4.177008,237,3,0,0,0,0.3289921149394853,0.0,,
9,6.012211,0.028112,0.0,0.998157,1.0,4.778787,249,7,0,0,0,0.4627358057728281,0.31735893927878916,,
10,6.951877,0.026432,0.0,0.997424,1.0,4.697669,227,6,0,0,0,0.4447075641313236,0.7271401849427459,,
11,6.425889,0.056604,0.0,0.997304,1.0,4.708839,212,12,0,0,0,0.4471902323451661,0.49776079070636525,,
12,6.898503,0.032258,0.0,0.997456,1.0,5.129962,248,8,0,0,0,0.5407835110527314,0.7038643850798241,,
13,6.058806,0.040359,0.0,0.997651,1.0,4.507856,223,9,0,0,0,0.40252213364658973,0.33767873893610667,,
14,6.857796,0.033019,0.0,0.996634,1.0,4.587136,212,7,0,0,0,0.42014199345397074,0.6861124414680256,,
15,5.766869,0.033019,0.0,0.998135,1.0,4.275529,212,7,0,0,0,0.36817169351583334,0.21036734657630946,,
16,5.738417,0.022222,0.0,0.998093,1.0,4.170338,225,5,0,0,0,0.3454157354917446,0.19795967401360134,,
17,5.634155,0.037383,0.0,0.998301,1.0,4.149736,214,8,0,0,0,0.3409588218052468,0.15249156965073685,,
18,6.562641,0.027668,0.0,0.997842,1.0,5.011902,253,7,0,0,0,0.5274709540709828,0.5573972808895332,,
19,6.765133,0.012448,0.0,0.997606,1.0,4.596582,241,3,0,0,0,0.4376250167652763,0.6457024664108664,,
20,6.632917,0.03125,0.0,0.998111,1.0,4.917001,224,7,0,0,0,0.5069410295256482,0.5880444432517821,,
21,5.462357,0.013333,0.0,0.998146,1.0,3.970021,225,3,0,0,0,0.3020811975777515,0.07757183335622529,,
22,5.923866,0.022936,0.0,0.998257,1.0,4.500707,218,5,0,0,0,0.4168843787402013,0.27883221820147874,,
23,5.927058,0.035176,0.0,0.997671,1.0,4.154237,199,7,0,0,0,0.3419325445960214,0.28022459023528246,,
24,6.175725,0.013825,0.0,0.998173,1.0,4.623254,217,3,0,0,0,0.44339491815876075,0.388666176687005,,
25,5.922841,0.031111,0.0,0.998487,1.0,4.603285,225,7,0,0,0,0.4390749972908861,0.2783854054600757,,
26,6.190711,0.076305,0.0,0.99759,1.0,4.56353,249,19,0,0,0,0.43047491157839973,0.3952013416294104,,
27,6.105003,0.034483,0.0,0.997535,1.0,4.547937,203,7,0,0,0,0.4271015772455346,0.3578248325272429,,
28,6.622519,0.026087,0.0,0.997841,1.0,4.831261,230,6,0,0,0,0.488392981857335,0.583509881828827,,
29,5.986267,0.026316,0.0,0.997658,1.0,5.010123,228,6,0,0,0,0.5270862273786389,0.30604516158669115,,
