t,event,method,sid,success,reason,src,dst,L,bw,N,num_paths,latency_ms,cost_total,cost_bw,cost_cpu,emp_reli_pred,fail_idx,new_active,topo_size,sfc_len_group
8,place,bear_sfc,1,1,,32,36,3,0.18084570466553634,2,2,7.718965745777892,4.44676563732429,1.4467656373242908,3.0,0.9960082953087585,,,,
10,place,bear_sfc,2,1,,15,2,5,0.13817331087436166,2,2,7.970711859447513,5.82903986524617,0.8290398652461699,5.0,0.99760273041997,,,,
11,failover,bear_sfc,1,1,,32,36,3,,2,,8.044244481899192,,,,,0,,,
16,place,bear_sfc,3,1,,32,0,4,0.23753352545582157,2,2,6.997934413281363,5.42520115273493,1.4252011527349295,4.0,0.99760273041997,,,,
16,failover,bear_sfc,3,1,,32,0,4,,2,,7.340268954095949,,,,,0,,,
17,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
18,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
19,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
20,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
21,place,bear_sfc,4,1,,31,1,4,0.20472039062985548,2,2,5.2464595473813445,4.818881562519422,0.8188815625194219,4.0,0.9990268696056204,,,,
21,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
22,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
23,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
24,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
25,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
26,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
27,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
28,place,bear_sfc,5,0,no_candidates,24,3,3,0.1770639744409969,2,0,,,,,,,,,
28,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
29,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
30,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
30,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
31,place,bear_sfc,6,0,insufficient_candidates,18,36,3,0.1803749639327441,2,0,,,,,,,,,
31,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
31,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
32,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
32,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
33,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
33,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
34,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
34,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
35,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
35,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
36,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
36,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
37,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
37,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
38,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
38,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
39,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
39,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
40,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
40,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
41,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
41,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
42,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
42,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
43,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
43,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
44,place,bear_sfc,7,1,,1,28,2,0.16686081064379657,2,2,5.6614971443519515,3.501747295794169,1.501747295794169,2.0,0.9955453722201663,,,,
44,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
44,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
45,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
45,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
46,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
46,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
47,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
47,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
48,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
48,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
49,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
49,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
50,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
50,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
50,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
51,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
51,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
51,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
52,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
52,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
52,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
53,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
53,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
53,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
54,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
54,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
54,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
55,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
55,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
55,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
56,failover,bear_sfc,1,0,no_usable_backup,32,36,3,,2,,0.0,,,,,,,,
56,failover,bear_sfc,2,0,no_usable_backup,15,2,5,,2,,0.0,,,,,,,,
56,failover,bear_sfc,7,0,no_usable_backup,1,28,2,,2,,0.0,,,,,,,,
